"Concepte";"Nom";"Tipologia";"Superficie";"Usuaris";"Gener [kWh]";"Febrer [kWh]";"Març [kWh]";"Abril [kWh]";"Maig [kWh]";"Juny [kWh]";"Juliol [kWh]";"Agost [kWh]";"Setembre [kWh]";"Octubre [kWh]";"Novembre [kWh]";"Desembre [kWh]";"Gener[€]";"Febrer[€]";"Març[€]";"Abril[€]";"Maig[€]";"Juny[€]";"Juliol[€]";"Agost[€]";"Setembre[€]";"Octubre[€]";"Novembre[€]";"Desembre[€]"
"Total";"BRIGADES OBRES";"Altres";"";"0";"48.490";"41.811";"18.715";"25.953";"14.819";"7.336";"7.361";"6.417";"6.548";"13.909";"29.920";"45.149";"4.105";"3.611";"2.194";"2.455";"1.842";"1.447";"1.409";"1.294";"1.291";"1.934";"2.649";"3.569"
"Total";"MERCAGIRONA";"Oficina";"";"0";"8.260";"7.417";"7.499";"6.508";"6.371";"6.084";"6.566";"6.279";"6.148";"6.797";"7.288";"7.663";"1.336";"1.197";"1.241";"1.067";"1.074";"1.034";"1.107";"1.069";"1.037";"1.125";"1.211";"1.264"
"Total";"WC CARPES DEVESA";"Altres";"";"0";"650";"567";"544";"466";"427";"388";"347";"168";"206";"209";"220";"237";"132";"117";"115";"101";"96";"88";"82";"53";"59";"60";"61";"66"
"Total";"OFICINA MERCAT AMBULANT";"Oficina";"";"0";"1175";"727";"604";"536";"397";"402";"476";"475";"455";"526";"790";"730";"231";"155";"137";"125";"103";"103";"116";"116";"112";"125";"166";"159"
"Total";"MERCAT LLEÓ";"Oficina";"";"0";"51.186";"40.037";"36.439";"35.895";"52.914";"57.050";"74.416";"70.084";"54.644";"33.882";"26.443";"24.434";"7.781";"6.316";"6.027";"5.891";"8.274";"8.601";"10.657";"10.125";"8.291";"5.851";"4.861";"4.699"
"Total";"MUSEU D'HISTÒRIA";"Cultural";"";"0";"22.873";"8.100";"0";"15.547";"28.351";"16.264";"11.752";"11.586";"9.522";"9.607";"12.757";"19.169";"3.171";"1.296";"350";"2.308";"3.941";"2.385";"1.876";"1.866";"1.552";"1.541";"1.883";"2.656"
"Total";"PUNT DE LECTURA TORRE GIRONELLA";"Cultural";"";"0";"108";"94";"50";"41";"33";"31";"45";"45";"33";"35";"75";"77";"23";"20";"14";"12";"11";"10";"13";"13";"11";"11";"18";"18"
"Total";"REG MAS MASÓ";"Altres";"";"0";"0";"38";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"25";"30";"26";"24";"25";"24";"25";"25";"24";"25";"24";"25"
"Total";"SALA FIDEL AGUILAR";"Oficina";"";"0";"5.278";"4.702";"3.028";"2.011";"4.240";"1.730";"2.686";"2.881";"2.132";"2.310";"3.120";"5.376";"834";"732";"508";"382";"658";"355";"483";"507";"407";"431";"520";"854"
"Total";"OFICINA PLA DE BARRIS";"Oficina";"";"0";"85";"290";"127";"123";"126";"121";"121";"119";"119";"146";"176";"175";"47";"78";"54";"52";"54";"52";"53";"53";"51";"57";"61";"62"
"Total";"LLAR D'AVIS TAIALÀ";"Cultural";"";"0";"14.268";"11.676";"2.128";"0";"1.514";"6.095";"6.549";"7.021";"6.615";"1.646";"1.744";"15.645";"1.062";"937";"424";"203";"387";"621";"706";"714";"686";"391";"404";"999"
"Total";"ESCOLA BRESSOL LA BALDUFA";"Educació";"";"0";"15.497";"10.570";"7.475";"0";"4.523";"1.465";"1.739";"1.688";"2.362";"2.247";"10.568";"19.541";"1.433";"1.011";"815";"258";"805";"440";"484";"475";"529";"500";"1.105";"1.464"
"Total";"CENTRE JOVE SALUT INTEGRAL";"Oficina";"";"0";"1.612";"1.538";"570";"397";"441";"245";"485";"485";"661";"697";"1.074";"1.156";"301";"286";"130";"101";"109";"76";"118";"118";"146";"153";"213";"228"
"Total";"CENTRE OBERT GÜELL";"Oficina";"";"0";"887";"918";"635";"234";"273";"356";"497";"240";"409";"479";"802";"1.057";"248";"238";"196";"140";"149";"156";"178";"144";"163";"175";"214";"268"
"Total";"CENTRE DE DIA FONT PÓLVORA";"Oficina";"";"0";"2216";"2002";"1641";"1517";"1434";"1.369";"950";"934";"877";"906";"1.054";"1.114";"400";"305";"297";"284";"271";"259";"192";"190";"179";"185";"208";"220"
"Total";"LLAR D'AVIS SANT JOAN";"Cultural";"";"0";"307";"284";"2875";"3800";"3926";"1998";"1082";"1045";"1147";"1214";"1078";"1098";"71";"66";"473";"618";"647";"347";"199";"193";"209";"220";"197";"201"
"Total";"LOCAL SOCIAL C/HORTÈNSIA";"Cultural";"";"0";"551";"530";"268";"176";"110";"134";"166";"176";"181";"221";"265";"215";"114";"109";"67";"52";"42";"45";"51";"52";"52";"60";"66";"59"
"Total";"CENTRE CÍVIC PEDRET";"Cultural";"";"0";"5.355";"3.846";"3.341";"817";"733";"331";"642";"504";"882";"1.238";"2.038";"6.703";"539";"438";"394";"211";"211";"202";"256";"206";"262";"357";"306";"599"
"Total";"CENTRE CÍVIC SANTA EUGÈNIA";"Cultural";"";"0";"17.805";"14.580";"3.325";"19.653";"3.482";"3.573";"3.808";"2.599";"3.696";"9.717";"13.754";"20.783";"1.751";"1.470";"591";"1351";"530";"628";"909";"786";"604";"835";"1.001";"1.770"
"Total";"BANC D'ALIMENTS";"Oficina";"";"0";"391";"290";"265";"226";"252";"283";"329";"334";"287";"194";"166";"150";"116";"94";"93";"84";"90";"95";"104";"105";"95";"80";"73";"73"
"Total";"MAGATZEM JOSEP MA PRAT";"Altres";"";"0";"256";"250";"230";"219";"275";"266";"170";"170";"121";"125";"102";"104";"65";"63";"61";"59";"68";"66";"51";"51";"43";"44";"39";"41"
"Total";"CENTRE CÍVIC ONYAR";"Cultural";"";"0";"18.600";"12.589";"12.145";"2.397";"3.102";"5.406";"10.087";"8.542";"5.800";"7.189";"10.103";"12.546";"3.217";"2.154";"1.993";"770";"889";"1.208";"1.796";"1.551";"1.248";"1.535";"1.954";"2.218"
"Total";"CENTRE CÍVIC SANT NARCÍS";"Cultural";"";"0";"18.479";"16.173";"10.078";"4.246";"4.679";"8.092";"13.503";"11.891";"9.604";"9.381";"11.656";"14.959";"3.489";"2.817";"1.981";"1.246";"1.317";"1.717";"2.381";"2.167";"1.926";"1.933";"2.293";"2.547"
"Total";"LOCAL SOCIAL GRUP GIRONA";"Cultural";"";"0";"7";"6";"7";"7";"7";"7";"7";"7";"7";"7";"6";"6";"20";"19";"20";"19";"20";"20";"20";"20";"19";"20";"19";"20"
"Total";"CENT LLARS";"Oficina";"";"0";"1.660";"1.246";"831";"154";"211";"316";"468";"536";"367";"613";"953";"1.140";"364";"283";"211";"85";"97";"114";"144";"157";"124";"171";"231";"268"
"Total";"LOCAL SOCIAL NOGUER";"Oficina";"";"0";"687";"371";"394";"384";"276";"249";"439";"446";"315";"321";"517";"550";"123";"67";"74";"72";"55";"50";"82";"83";"61";"62";"94";"100"
"Total";"LOCAL SOCIAL PLAÇA LLIMONER";"Cultural";"";"0";"937";"1.135";"465";"340";"230";"205";"195";"195";"415";"437";"1308";"1417";"191";"189";"108";"91";"75";"69";"69";"69";"104";"108";"249";"268"
"Total";"LOCAL SOCIAL DE VISTA ALEGRE";"Cultural";"";"0";"485";"417";"259";"216";"206";"217";"248";"282";"318";"345";"361";"367";"117";"103";"79";"71";"71";"71";"77";"83";"88";"93";"95";"97"
"Total";"TEATRE MUNICIPAL";"Cultural";"";"0";"83.767";"69.177";"29.702";"6.232";"38.568";"23.332";"16.923";"23.860";"26.245";"40.032";"52.210";"76.934";"8.105";"6.905";"4.197";"2.193";"3.870";"3.299";"3.577";"4.584";"4.317";"4.948";"5.731";"7.826"
"Total";"PUNT DE BENVINGUDA";"Oficina";"";"0";"619";"583";"419";"377";"302";"239";"307";"332";"324";"337";"487";"574";"138";"130";"106";"97";"86";"75";"87";"91";"89";"92";"116";"131"
"Total";"EBAR CREUETA";"Bombeig";"";"0";"19";"19";"21";"20";"19";"21";"21";"20";"20";"20";"20";"18";"23";"22";"23";"22";"23";"23";"23";"23";"22";"23";"22";"23"
"Total";"COMPORTES MARFÀ";"Bombeig";"";"0";"178";"171";"190";"182";"183";"179";"298";"187";"180";"182";"176";"179";"55";"52";"57";"55";"56";"54";"74";"56";"54";"56";"54";"57"
"Total";"Provisional Fires";"Altres";"";"0";"523";"612";"735";"-133";"-1719";"0";"0";"0";"0";"0";"0";"0";"94";"102";"118";"18";"-164";"27";"28";"28";"27";"28";"27";"28"
"Total";"ASSOCIACIÓ DE VEÏNS DE TORRE TAIALÀ";"Cultural";"";"0";"1.317";"1.177";"1.186";"1.097";"1.113";"1.064";"1.074";"1.137";"1.160";"1.129";"971";"1.104";"188";"168";"168";"155";"157";"151";"150";"160";"165";"157";"138";"160"
"Total";"ESCOLA BRESSOL L'OLIVERA";"Educació";"";"0";"10.265";"8.929";"7.746";"3.708";"802";"3.655";"4.889";"2.540";"5.115";"6.088";"6.248";"6.370";"1.569";"1.363";"1.223";"754";"408";"752";"988";"593";"955";"1031";"1.069";"1.095"
"Total";"ESCOLA DOMENY";"Educació";"";"0";"58.502";"54.034";"10.596";"55.280";"21.801";"7.354";"5.652";"4.685";"14.014";"29.427";"49.313";"53.550";"4.155";"3.840";"1.533";"3.409";"1.836";"1.195";"1.131";"1.028";"1.872";"2.781";"3.386";"3.579"
"Total";"PARC DEL MIGDIA";"Altres";"";"0";"1.407";"4.940";"5.741";"4.908";"12.231";"11.725";"11.244";"13.381";"13.338";"14.143";"9.386";"1.339";"451";"898";"1.034";"894";"1.862";"1.805";"1.914";"2.063";"2.045";"2.147";"1.489";"448"
"Total";"ESCOLA EL BOSC DE LA PABORDIA";"Educació";"";"0";"12.086";"9.941";"6.475";"3.233";"754";"1.021";"945";"237";"2.674";"4.306";"7.255";"11.094";"1.981";"1.496";"1.200";"761";"472";"496";"515";"410";"720";"949";"1.295";"1.862"
"Total";"MAGATZEM REIS MAGS";"Altres";"";"0";"274";"5";"2";"1";"0";"3";"11";"13";"15";"199";"627";"677";"79";"33";"34";"33";"32";"32";"36";"36";"35";"67";"135";"145"
"Total";"EBAR PARADOR GÜELL";"Bombeig";"";"0";"42";"57";"29";"23";"24";"23";"24";"21";"15";"16";"17";"20";"37";"37";"35";"33";"34";"33";"34";"33";"32";"33";"32";"34"
"Total";"Can Borrassó";"Altres";"";"0";"1825";"1595";"1592";"960";"722";"687";"851";"905";"1.202";"1193";"1.176";"1.382";"529";"480";"505";"419";"398";"383";"414";"428";"470";"440";"425";"455"
"Total";"ESCOLA CARME AUGUET";"Educació";"";"0";"38.907";"14.846";"1.882";"1.218";"7.147";"4.547";"3.940";"4.194";"9.230";"15.710";"15.995";"15.213";"2.173";"1.256";"448";"337";"1.076";"773";"706";"721";"917";"1.295";"1.373";"1.239"
"Total";"HABITATGE AURORA BERTRANA I SALAZAR 2 - 1R 6A";"Residencial";"";"0";"1.198";"1.184";"1022";"976";"736";"487";"482";"396";"384";"803";"1157";"3.770";"217";"215";"190";"180";"140";"87";"88";"85";"79";"97";"129";"295"
"Total";"ESCOLA MARTA MATA";"Educació";"";"0";"78.516";"60.496";"9.633";"19.960";"5.803";"4.608";"2.057";"1.827";"15.074";"15.384";"42.717";"51.848";"5.011";"4.011";"1.362";"1.542";"850";"940";"675";"645";"1739";"1.868";"3.198";"3.400"
"Total";"CENTRE DE DIA DE SANTA EUGÈNIA";"Oficina";"";"0";"8.513";"5.926";"5.568";"2.175";"1.538";"1.653";"2.383";"2.322";"1.804";"4.015";"6.845";"9.076";"1287";"879";"830";"417";"351";"363";"470";"464";"385";"681";"973";"1.303"
"Total";"ESPAI JOVE ELS QUÍMICS";"Cultural";"";"0";"3.976";"3.162";"1.227";"438";"311";"1.019";"3.286";"719";"849";"1.277";"3.121";"2.239";"904";"766";"393";"234";"227";"362";"751";"275";"335";"458";"819";"684"
"Total";"TANC PLUJA TAIALÀ 4";"Bombeig";"";"0";"20";"18";"20";"18";"19";"18";"19";"19";"18";"19";"19";"19";"9";"8";"9";"8";"9";"9";"9";"9";"8";"9";"9";"9"
"Total";"TANC PLUJA TAIALÀ 2";"Bombeig";"";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"6";"6"
"Total";"TANC PLUJA TAIALÀ 1";"Bombeig";"";"0";"44";"40";"34";"31";"26";"22";"22";"23";"24";"26";"38";"45";"30";"28";"28";"27";"27";"26";"27";"27";"26";"27";"29";"31"
"Total";"LA MARFÀ";"Oficina";"";"0";"49.121";"39.609";"12.408";"15.208";"5.044";"9.140";"24.318";"19.305";"18.457";"21.892";"29.273";"38.290";"4.977";"4.368";"2.508";"2.107";"1.783";"2.277";"4.365";"3.667";"3.558";"3.298";"3.412";"3.948"
"Total";"TANC PLUJA TAIALÀ 3";"Bombeig";"";"0";"20";"19";"21";"20";"20";"20";"20";"20";"19";"20";"19";"20";"9";"8";"9";"9";"9";"9";"9";"9";"9";"9";"9";"9"
"Total";"TANC PLUJA TAIALÀ 5";"Bombeig";"";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"22";"21";"22";"21";"22";"21";"22";"22";"21";"22";"22";"22"
"Total";"LOCAL PONT MAJOR 65";"Altres";"";"0";"1046";"52";"11";"316";"314";"5";"6";"6";"11";"54";"52";"495";"97";"31";"26";"44";"45";"42";"43";"44";"44";"48";"46";"53"
"Total";"EBAR MARFÀ";"Bombeig";"";"0";"108";"105";"105";"101";"96";"91";"75";"71";"77";"81";"87";"91";"45";"43";"45";"44";"44";"43";"41";"40";"40";"42";"42";"43"
"Total";"ESCOLA BRESSOL LA DEVESA";"Educació";"";"0";"6.277";"5.263";"4.835";"2.859";"1.613";"2.035";"2.731";"964";"1.947";"3.394";"5.518";"6.801";"1.228";"1.043";"1018";"761";"626";"671";"797";"569";"677";"856";"1.113";"1.291"
"Total";"EBAR CAMPDORÀ 2";"Bombeig";"";"0";"10";"9";"9";"8";"8";"8";"9";"9";"8";"9";"10";"11";"25";"23";"24";"24";"24";"24";"24";"24";"24";"24";"24";"26"
"Total";"CASTELL MONTJUÏC";"Cultural";"";"0";"93";"93";"83";"0";"18";"40";"53";"58";"119";"-35";"30";"20";"61";"58";"59";"41";"47";"50";"54";"55";"64";"38";"48";"49"
"Total";"SEPARADOR HIDROCARBURS DOMENY";"Bombeig";"";"0";"0";"0";"0";"0";"8623";"924";"106";"107";"104";"107";"103";"108";"8";"8";"8";"8";"1423";"159";"25";"26";"25";"26";"25";"26"
"Total";"PISTA CREC SANT DANIEL";"Cultural";"";"0";"425";"404";"249";"214";"219";"220";"247";"283";"374";"362";"292";"276";"107";"101";"78";"71";"73";"72";"77";"83";"97";"96";"83";"83"
"Total";"HABITATGE AGUDES 69 - 5E 1A";"Residencial";"";"0";"1110";"1010";"902";"848";"376";"133";"121";"117";"349";"436";"1023";"1.283";"206";"188";"172";"162";"86";"46";"44";"44";"81";"96";"191";"235"
"Total";"CENTRE CÍVIC BARRI VELL – MERCADAL";"Cultural";"";"0";"6.095";"5.307";"3.314";"1.341";"1.556";"2.017";"2.877";"1.922";"2.185";"2.837";"3.772";"4.902";"1.025";"889";"651";"391";"427";"477";"588";"478";"496";"586";"693";"894"
"Total";"ASSOCIACIÓ DE VEÏNS DE PALAU";"Cultural";"";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Total";"ESCOLA PERICOT";"Educació";"";"0";"46.900";"40.155";"15.345";"19.647";"10.407";"3.318";"2.458";"2.245";"13.605";"18.890";"30.680";"34.507";"3.492";"2.961";"1.574";"1.509";"1.075";"743";"682";"623";"1.517";"1.812";"2.321";"2.417"
"Total";"WC DOMENY";"Altres";"";"0";"11";"9";"9";"9";"9";"8";"7";"7";"9";"10";"9";"9";"17";"16";"17";"16";"17";"16";"16";"16";"16";"17";"16";"17"
"Total";"PAVELLÓ MONTFALGARS";"Esportiu";"";"0";"10.912";"22.655";"5.133";"4.214";"4.160";"4.136";"5.171";"4.043";"4.955";"5.464";"4.789";"5.142";"1.055";"1.752";"543";"425";"415";"415";"548";"424";"541";"603";"517";"567"
"Total";"GESTORIA GOMEZ";"Oficina";"";"0";"864";"970";"513";"143";"189";"357";"562";"284";"468";"547";"706";"838";"211";"227";"147";"77";"87";"117";"156";"105";"137";"153";"181";"208"
"Total";"BEATES";"Oficina";"";"0";"4.629";"3.774";"3.079";"2.208";"2.504";"4.629";"5.815";"5.555";"4.836";"4.936";"5.414";"3.981";"803";"652";"603";"466";"521";"843";"1.032";"984";"978";"863";"934";"708"
"Total";"EBAR NESTLE";"Altres";"";"0";"189";"101";"89";"118";"85";"106";"100";"93";"80";"91";"110";"90";"51";"39";"39";"41";"39";"47";"41";"44";"37";"40";"42";"39"
"Total";"CAMP DE FUTBOL DE PONT MAJOR";"Esportiu";"";"0";"8.193";"1.913";"4.501";"4.055";"2.771";"4.203";"1.384";"3.045";"5.330";"5.269";"4.134";"4.898";"1.654";"851";"995";"912";"776";"956";"610";"807";"1078";"1.090";"943";"1.058"
"Total";"GUINGUETA FONTAJAU";"Cultural";"";"0";"190";"170";"202";"199";"267";"273";"330";"339";"248";"247";"183";"181";"70";"64";"72";"70";"82";"82";"93";"94";"78";"79";"68";"68"
"Total";"TANC PLUJA COSTABONA";"Altres";"";"0";"256";"187";"150";"323";"138";"308";"102";"102";"100";"197";"248";"57";"139";"122";"127";"147";"122";"148";"116";"118";"112";"130";"136";"109"
"Total";"ASSOCIACIO DE VEÏNS DE L'EIXAMPLE";"Altres";"";"0";"701";"589";"361";"91";"105";"285";"125";"113";"190";"324";"308";"480";"231";"163";"148";"67";"72";"94";"75";"73";"111";"107";"105";"190"
"Total";"WC PERE CALDERS";"Altres";"";"0";"53";"9";"7";"7";"7";"7";"19";"22";"27";"29";"167";"194";"24";"16";"16";"16";"16";"16";"18";"19";"19";"20";"42";"47"
"Total";"DIPÒSIT MUNICIPAL DE VEHICLES";"Altres";"";"0";"2.353";"1.993";"333";"1.830";"2.626";"1.469";"1.706";"1.677";"1.412";"1.078";"882";"2.181";"353";"303";"118";"286";"381";"257";"290";"285";"249";"198";"168";"332"
"Total";"PARQUING PLAÇA PALLOL";"Altres";"";"0";"1.510";"1.585";"717";"1.186";"2.495";"1.676";"1.676";"1.632";"1.546";"1.659";"1.575";"1.578";"367";"396";"136";"198";"362";"290";"252";"243";"251";"248";"244";"254"
"Total";"FONTAJAU 5 1º 2ª";"Residencial";"";"0";"265";"246";"303";"295";"276";"263";"228";"225";"218";"226";"260";"274";"62";"58";"69";"67";"64";"61";"56";"56";"54";"56";"61";"64"
"Total";"AAVV PALAU - SANT PAU";"Residencial";"";"0";"4";"2";"3";"2";"1";"2";"5";"4";"4";"3";"1";"2";"20";"18";"19";"19";"19";"19";"20";"20";"19";"20";"19";"20"
"Total";"ASCENSOR GRUP SANT DANIEL";"Altres";"";"0";"108";"102";"78";"79";"88";"92";"103";"109";"112";"120";"121";"118";"88";"82";"82";"80";"84";"83";"87";"88";"86";"90";"88";"91"
"Total";"ASCENSOR PUNTA DEL PI";"Altres";"";"0";"80";"75";"72";"69";"72";"70";"74";"74";"74";"77";"78";"81";"43";"40";"37";"40";"42";"40";"42";"42";"41";"43";"42";"44"
"Total";"PLAÇA JORDI DE SANT JORDI";"Oficina";"";"0";"4.052";"3.925";"1.758";"1.229";"2.722";"2.095";"1.429";"1.194";"1.221";"1.995";"1.747";"1.708";"856";"820";"552";"450";"634";"564";"514";"476";"458";"565";"522";"582"
"Total";"ESTACIÓ RECÀRREGA VEHICLE ELÈCTRIC THARRATS";"Altres";"";"0";"2.543";"2.769";"0";"735";"1.629";"1.353";"2229";"1960";"2135";"2.230";"1.277";"1.764";"1030";"929";"386";"468";"595";"634";"1051";"733";"668";"676";"619";"682"
"Total";"ESTACIÓ RECÀRREGA VEHICLE ELÈCTRIC CARDENER";"Altres";"";"0";"2.473";"2.730";"0";"1079";"2230";"135";"91";"6677";"2922";"3.073";"2.786";"3.764";"1249";"1218";"386";"522";"693";"391";"398";"1350";"769";"781";"965";"1004"
"Total";"HABITATGE AGUDES 69 - 3R 2A";"Residencial";"";"0";"267";"266";"287";"278";"258";"236";"252";"255";"260";"273";"285";"302";"67";"66";"70";"68";"66";"61";"65";"65";"65";"68";"69";"73"
"Total";"ASCENSOR PICAPEDRERS";"Altres";"";"0";"140";"121";"147";"92";"16";"97";"106";"117";"121";"142";"134";"134";"53";"48";"54";"44";"33";"45";"47";"49";"49";"53";"53";"57"
"Total";"ESCENARI FRONTISSA SANTA EUGÈNIA";"Altres";"";"0";"2";"2";"0";"0";"1";"3";"9";"10";"2";"3";"5";"1";"140";"134";"138";"135";"143";"139";"144";"144";"139";"143";"139";"143"
"Total";"QUIOSC FRONTISSA SANTA EUGÈNIA";"Altres";"";"0";"24";"22";"18";"16";"16";"15";"11";"10";"3";"1";"0";"0";"43";"40";"42";"40";"41";"40";"41";"40";"38";"39";"36";"37"
"Total";"HABITATGE GUADIANA 29 - BX 1A";"Residencial";"";"0";"795";"429";"492";"394";"423";"698";"694";"333";"349";"716";"753";"1290";"91";"67";"77";"70";"71";"82";"84";"76";"74";"82";"84";"113"
"Total";"HABITATGE GUADIANA 29 - 2N 3A";"Residencial";"";"0";"1.688";"1.063";"1.217";"605";"682";"1164";"1183";"873";"883";"1589";"1.671";"2.770";"175";"134";"157";"119";"126";"149";"154";"148";"143";"167";"174";"256"
"Total";"HABITATGE GUADIANA 29 - 1R 9A";"Residencial";"";"0";"2.191";"1.797";"1.951";"564";"547";"374";"391";"402";"410";"772";"849";"1.701";"168";"143";"158";"76";"74";"59";"62";"62";"61";"78";"83";"131"
"Total";"EDIFICI HABITATGES TORIN";"Residencial";"";"0";"31.936";"26.905";"2.574";"49.128";"12.444";"7.905";"6.528";"5.942";"6.487";"13.551";"22.400";"32.208";"1.927";"1.644";"477";"2.686";"951";"723";"646";"620";"631";"920";"1.279";"1.695"
"Total";"HABITATGE GUADIANA 29 - 1R 3A";"Residencial";"";"0";"126";"116";"134";"131";"135";"131";"135";"134";"135";"145";"129";"122";"40";"37";"41";"40";"41";"40";"41";"41";"40";"43";"40";"42"
"Total";"CASA SOLER";"Altres";"";"0";"404";"375";"407";"396";"409";"396";"409";"409";"396";"409";"392";"390";"95";"88";"95";"93";"96";"93";"96";"96";"93";"96";"92";"94"
"Total";"HABITATGE RONDA PEDRET 10- BXS 2";"Residencial";"";"0";"142";"118";"126";"121";"114";"109";"125";"126";"104";"106";"120";"126";"48";"42";"45";"44";"43";"42";"45";"45";"41";"42";"43";"45"
"Total";"CENTRE DE DIA GÜELL";"Altres";"";"0";"432";"474";"373";"273";"274";"292";"276";"276";"335";"427";"482";"579";"196";"192";"187";"170";"174";"172";"175";"175";"178";"194";"198";"214"
"Total";"CENTRE DE DISTRIBUCIÓ D'ALIMENTS SANTA EUGÈNIA";"Oficina";"";"0";"2.106";"1.744";"1.087";"327";"411";"580";"663";"369";"513";"821";"1.455";"1.672";"482";"424";"352";"251";"269";"283";"301";"263";"274";"320";"392";"420"
"Total";"ESPAI JOVE GÜELL";"Altres";"";"0";"3.019";"3.111";"2.889";"2.083";"2.444";"3.732";"4.455";"2.032";"1.651";"1.919";"1.559";"1.413";"515";"519";"504";"398";"453";"631";"723";"387";"340";"381";"325";"313"
"Total";"Quadre de festa";"Altres";"";"0";"1.689";"650";"492";"364";"778";"500";"539";"595";"621";"741";"1.005";"2.910";"409";"257";"249";"227";"278";"245";"259";"264";"261";"287";"311";"578"
"Total";"OFICINES BÒLIT";"Oficina";"";"0";"2.751";"2.392";"695";"394";"719";"764";"1.085";"1.289";"701";"1.313";"2.153";"2.682";"537";"463";"237";"186";"230";"237";"297";"335";"231";"316";"440";"504"
"Total";"EVENTUALS NADAL";"Altres";"";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Total";"HABITATGE GUADIANA 29 - 2N 8A";"Residencial";"";"0";"995";"506";"545";"246";"282";"468";"486";"300";"291";"668";"712";"1219";"103";"60";"65";"44";"48";"61";"65";"61";"56";"69";"75";"131"
"Total";"HABITATGE AGUDES 69 - 6E 6A";"Residencial";"";"0";"2.708";"2.462";"1.751";"1.490";"890";"410";"248";"173";"340";"416";"128";"0";"227";"207";"162";"143";"104";"70";"56";"50";"59";"64";"37";"28"
"Total";"EVENTUALS";"Altres";"";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Total";"HABITATGE GUADIANA 29_COMUNITAT PROPIETARIS A";"Residencial";"";"0";"310";"282";"260";"190";"251";"301";"475";"453";"438";"468";"447";"443";"211";"196";"203";"186";"202";"202";"230";"227";"221";"230";"221";"226"
"Total";"HABITATGE GUADIANA29_COMUNITAT PROPIETARIS B";"Residencial";"";"0";"206";"203";"308";"285";"202";"185";"175";"142";"146";"151";"134";"144";"193";"181";"204";"196";"192";"185";"189";"185";"180";"186";"179";"185"
"Total";"HABITATGE MONTJUIC 4";"Residencial";"";"0";"186";"162";"174";"169";"151";"142";"157";"157";"160";"166";"193";"203";"50";"45";"48";"47";"45";"42";"45";"46";"45";"47";"51";"53"
"Total";"HABITATGE AGUDES 69 -MAS MASO 1 - 4T 6A";"Residencial";"";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Total";"HABITATGE RONDA PEDRET 6 - 4T 1A";"Residencial";"";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Total";"HABITATGE RONDA PEDRET 2 - 3R 2A";"Residencial";"";"0";"527";"455";"434";"208";"305";"656";"627";"482";"542";"816";"751";"616";"38";"34";"33";"19";"25";"44";"45";"45";"44";"49";"45";"38"
"Total";"HABITATGE MONTSENY 32 2 2";"Residencial";"";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Total";"ANTIC EDIFICI UNED";"Altres";"";"0";"4312";"2666";"2273";"83";"181";"584";"549";"615";"597";"676";"1.042";"607";"632";"430";"400";"148";"164";"212";"212";"219";"212";"226";"263";"214"
"Total";"PARKING HABITATGES GUADIANA";"Residencial";"";"0";"0";"8";"61";"74";"219";"224";"273";"294";"369";"375";"323";"325";"49";"48";"63";"63";"92";"91";"102";"105";"118";"120";"109";"113"
"Total";"HABITATGE AGUDES 69 - 3R 1A";"Residencial";"";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Total";"HABITATGE RONDA PEDRET 6- 2N 2A";"Residencial";"";"0";"286";"1.036";"1.192";"1494";"1333";"440";"456";"460";"701";"1596";"1672";"2257";"18";"67";"76";"92";"84";"34";"35";"34";"45";"88";"92";"122"
"Total";"HABITATGE GUADIANA 29 BX-4";"Residencial";"";"0";"1.981";"1.095";"1.170";"519";"581";"966";"955";"333";"429";"1.985";"2.073";"3.558";"122";"71";"76";"37";"41";"61";"63";"54";"56";"108";"114";"208"
"Total";"HABITATGE GUADIANA 29 - 1R 2A";"Residencial";"";"0";"756";"302";"322";"183";"183";"127";"130";"121";"121";"177";"215";"632";"54";"24";"25";"16";"16";"12";"12";"11";"11";"14";"16";"43"
